,Azamiuma,Hachi,Ga350,Ga550,Ga350550,Y
737,0.48432,0,0,0,0,0.0003
738,0.48208,0,0,0,0,0.0003
739,0.47456,0,0,0,0,0.0003
740,0.46,0,0,0,0,0.0002
741,0.3712,0,0,0,0,0.0002
742,0.2772,0,0,0,0,0.0002
743,0.1816,0,0,0,0,0.0002
744,0.088,0,0,0,0,0.0002
745,6.94E-18,0,0,0,0,0.0002
746,0,0,0,0,0,0.0002
747,0,0,0,0,0,0.0001
748,0,0,0,0,0,0.0001
749,0,0,0,0,0,0.0001
750,0,0,0,0,0,0.0001
751,0,0,0,0,0,0.0001
752,0,0,0,0,0,0.0001
753,0,0,0,0,0,0.0001
754,0,0,0,0,0,0.0001
755,0,0,0,0,0,0.0001
756,0,0,0,0,0,0.0001
757,0,0,0,0,0,0.0001
